PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
47794115X	http://d-nb.info/gnd/1231301252	Bedjil, Botango	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231301252","_standard":"text":"Bedjil, Botango"},"conceptName":"Bedjil, Botango"}	028A	$4:cmp	Bedjil, Botango		
47794115X	http://d-nb.info/gnd/1231301325	Vundumuna	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231301325","_standard":"text":"Vundumuna"},"conceptName":"Vundumuna"}	029F	$4:prf	Vundumuna		
477944140	http://d-nb.info/gnd/1231304197	Mpinda, Kasongo	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231304197","_standard":"text":"Mpinda, Kasongo"},"conceptName":"Mpinda, Kasongo"}	028C	$4:prf	Mpinda, Kasongo		
477944140	http://d-nb.info/gnd/3060496-5	Maquis du Zaire	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3060496-5","_standard":"text":"Maquis du Zaire"},"conceptName":"Maquis du Zaire"}	029A	$4:cmp	Maquis du Zaire		
478131224	http://d-nb.info/gnd/1231385413	Orchestre Tino-Mambo	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231385413","_standard":"text":"Orchestre Tino-Mambo"},"conceptName":"Orchestre Tino-Mambo"}	029F	$4:prf	Orchestre Tino-Mambo		
478131518	http://d-nb.info/gnd/1231385413	Orchestre Tino-Mambo	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231385413","_standard":"text":"Orchestre Tino-Mambo"},"conceptName":"Orchestre Tino-Mambo"}	029F	$4:prf	Orchestre Tino-Mambo		
478145888	http://d-nb.info/gnd/1054180288	Boyibanda, Michel	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1054180288","_standard":"text":"Boyibanda, Michel"},"conceptName":"Boyibanda, Michel"}	028A	$4:cmp	Boyibanda, Michel		
478145888	http://d-nb.info/gnd/1022227009	Mabiala, Youlou	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1022227009","_standard":"text":"Mabiala, Youlou"},"conceptName":"Mabiala, Youlou"}	028C	$4:cmp	Mabiala, Youlou	1947-	
478145888	http://d-nb.info/gnd/3015656-7	Tout-Puissant OK Jazz	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3015656-7","_standard":"text":"Tout-Puissant OK Jazz"},"conceptName":"Tout-Puissant OK Jazz"}	029F	$4:prf	Tout-Puissant OK Jazz		
478176724	http://d-nb.info/gnd/138676089	Baba Gaston	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/138676089","_standard":"text":"Baba Gaston"},"conceptName":"Baba Gaston"}	028A	$4:cmp	Baba Gaston	1936-1997	
478176724	http://d-nb.info/gnd/1231467827	Kabila Kabanze	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1231467827","_standard":"text":"Kabila Kabanze"},"conceptName":"Kabila Kabanze"}	028C	$4:prf	Kabila Kabanze		
